other,other,859
aquaticScience,other,80
publicHealth,other,52
policy,other,33
other,aquaticScience,227
policy,aquaticScience,15
aquaticScience,aquaticScience,49
publicHealth,aquaticScience,16
devNeuroscience,other,6
devNeuroscience,aquaticScience,2
psychiatry,aquaticScience,2
other,policy,52
publicHealth,policy,3
policy,policy,2
aquaticScience,policy,5
other,publicHealth,19
aquaticScience,publicHealth,4
publicHealth,publicHealth,4
policy,publicHealth,2
other,psychiatry,1
