Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
20;39563;"International Journal of Applied Earth Observation and Geoinformation";journal;"15698432";1,623;Q1;86;131;515;7554;2905;512;5,04;57,66;Netherlands;Western Europe;"Elsevier";"1998-2020";"Computers in Earth Sciences (Q1); Earth-Surface Processes (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)"
21;22786;"Policy Studies Journal";journal;"0190292X, 15410072";1,568;Q1;64;89;132;6346;506;104;4,45;71,30;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1972-2020";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
22;21100924773;"GeoHealth";journal;"24711403";1,564;Q1;6;18;16;1317;68;13;5,23;73,17;United States;Northern America;"John Wiley and Sons Inc.";"2017-2020";"Global and Planetary Change (Q1); Health, Toxicology and Mutagenesis (Q1); Management, Monitoring, Policy and Law (Q1); Pollution (Q1); Public Health, Environmental and Occupational Health (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1); Epidemiology (Q2)"
23;12282;"Journal of Social Policy";journal;"14697823, 00472794";1,563;Q1;61;50;92;2571;280;88;3,13;51,42;United Kingdom;Western Europe;"Cambridge University Press";"1976, 1978-1984, 1986-2020";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)"
24;4900152303;"Global Environmental Politics";journal;"15263800";1,550;Q1;54;23;90;1185;302;86;3,27;51,52;United States;Northern America;"MIT Press Journals";"2006-2020";"Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1); Renewable Energy, Sustainability and the Environment (Q1); Global and Planetary Change (Q2)"
25;26350;"Journal of European Social Policy";journal;"14617269, 09589287";1,548;Q1;68;59;97;2922;330;94;2,98;49,53;United States;Northern America;"SAGE Publications Ltd";"1991-2020";"Management, Monitoring, Policy and Law (Q1); Social Sciences (miscellaneous) (Q1)"
26;22773;"Policy Sciences";journal;"00322687, 15730891";1,528;Q1;53;31;97;2419;386;90;4,12;78,03;Netherlands;Western Europe;"Springer Netherlands";"1970-2020";"Development (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
27;11700154702;"Biotechnology for Biofuels";journal;"17546834";1,522;Q1;84;292;910;17676;4941;890;5,10;60,53;United Kingdom;Western Europe;"BioMed Central Ltd.";"2008-2020";"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
28;22762;"Policy and Politics";journal;"03055736, 14708442";1,507;Q1;50;32;104;2021;375;102;4,18;63,16;United Kingdom;Western Europe;"Policy Press";"1979-2019";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
29;17600155126;"Energy for Sustainable Development";journal;"09730826";1,488;Q1;59;70;243;3464;1085;242;4,26;49,49;Netherlands;Western Europe;"Elsevier";"1994-1997, 2000-2020";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
