Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
90;11300153741;"Journal of Hydro-Environment Research";journal;"15706443";0,837;Q2;34;39;125;1423;347;123;2,40;36,49;Netherlands;Western Europe;"Elsevier";"2007-2020";"Civil and Structural Engineering (Q1); Environmental Engineering (Q1); Water Science and Technology (Q1); Environmental Chemistry (Q2); Management, Monitoring, Policy and Law (Q2)"
91;12000154485;"Journal of Land Use Science";journal;"1747423X, 17474248";0,834;Q2;31;35;109;2794;214;97;1,29;79,83;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2020";"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2)"
92;21100872187;"Journal of Tourism Futures";journal;"20555911, 2055592X";0,826;Q2;10;42;59;1995;204;52;3,50;47,50;United Kingdom;Western Europe;"Emarald Group Publishing Ltd";"2015-2020";"Geography, Planning and Development (Q1); Nature and Landscape Conservation (Q1); Tourism, Leisure and Hospitality Management (Q1); Management, Monitoring, Policy and Law (Q2)"
93;20574;"Journal of Contingencies and Crisis Management";journal;"14685973, 09660879";0,823;Q2;46;38;118;2197;307;110;2,76;57,82;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1993-2020";"Management Information Systems (Q2); Management, Monitoring, Policy and Law (Q2)"
94;28333;"Ocean and Coastal Management";journal;"09645691";0,822;Q2;77;317;811;21144;2346;776;2,77;66,70;United Kingdom;Western Europe;"Elsevier BV";"1992-2020";"Aquatic Science (Q1); Management, Monitoring, Policy and Law (Q2); Oceanography (Q2)"
95;19786;"Utilities Policy";journal;"09571787";0,818;Q2;46;83;250;4398;657;239;2,27;52,99;United Kingdom;Western Europe;"Elsevier BV";"1990-1995, 1997-2001, 2003-2020";"Business and International Management (Q1); Development (Q1); Law (Q1); Sociology and Political Science (Q1); Management, Monitoring, Policy and Law (Q2)"
96;21100220394;"Climate Law";journal;"18786553, 18786561";0,789;Q2;17;16;52;332;62;50;0,39;20,75;Netherlands;Western Europe;"Brill Academic Publishers";"2010-2012, 2014-2019";"Environmental Science (miscellaneous) (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)"
97;19900192548;"Conservation and Society";journal;"09724923, 09753133";0,779;Q2;33;31;118;1985;269;117;2,19;64,03;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2007-2020";"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2)"
98;20960;"Science and Public Policy";journal;"03023427, 14715430";0,771;Q2;60;65;205;4083;464;198;1,89;62,82;United Kingdom;Western Europe;"Oxford University Press";"1974, 1976-1982, 1984-2019";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)"
99;25075;"Ecotoxicology";journal;"09639292, 15733017";0,764;Q2;86;140;429;8002;1189;423;2,63;57,16;Netherlands;Western Europe;"Springer Netherlands";"1992-2020";"Health, Toxicology and Mutagenesis (Q2); Management, Monitoring, Policy and Law (Q2); Medicine (miscellaneous) (Q2); Toxicology (Q2)"
100;50039;"Review of Policy Research";journal;"1541132X, 15411338";0,761;Q2;43;36;110;2726;197;104;1,95;75,72;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1981-1995, 1998-2020";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)"
101;21100787828;"International Journal of Health Policy and Management";journal;"23225939";0,760;Q2;24;116;442;3902;856;231;3,72;33,64;Iran;Middle East;"Kerman University of Medical Sciences";"2013-2020";"Health (social science) (Q1); Leadership and Management (Q1); Health Information Management (Q2); Health Policy (Q2); Management, Monitoring, Policy and Law (Q2)"
102;27387;"Population Research and Policy Review";journal;"15737829, 01675923";0,752;Q2;46;65;134;3916;216;126;1,32;60,25;Netherlands;Western Europe;"Springer Netherlands";"1982-2020";"Demography (Q1); Management, Monitoring, Policy and Law (Q2)"
103;21100466413;"Life Sciences, Society and Policy";journal;"21957819";0,748;Q2;13;6;55;228;97;52;1,88;38,00;Switzerland;Western Europe;"Springer International Publishing AG";"2013-2020";"Philosophy (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Management, Monitoring, Policy and Law (Q2)"
104;14506;"Local Environment";journal;"14696711, 13549839";0,747;Q2;57;75;258;4858;547;241;2,32;64,77;United Kingdom;Western Europe;"Routledge";"1996-2020";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2)"
105;21100790931;"Management of Biological Invasions";journal;"19898649";0,738;Q2;19;42;148;2616;301;144;2,22;62,29;Finland;Western Europe;"Regional Euro-Asian Biological Invasions Centre";"2010-2019";"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Management, Monitoring, Policy and Law (Q2)"
106;18773;"Water International";journal;"02508060";0,736;Q2;46;58;199;2899;486;166;2,07;49,98;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1975-2020";"Water Science and Technology (Q1); Management, Monitoring, Policy and Law (Q2)"
107;21100202110;"Environmental Development";journal;"22114645";0,735;Q2;27;59;173;3248;515;146;2,97;55,05;Netherlands;Western Europe;"Elsevier BV";"2012-2020";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2)"
108;21100228568;"Maritime Studies";journal;"22129790, 18727859";0,729;Q2;14;35;66;1923;115;60;1,79;54,94;Germany;Western Europe;"Springer Verlag";"2012-2020";"Development (Q1); Geography, Planning and Development (Q1); Water Science and Technology (Q1); Aquatic Science (Q2); Management, Monitoring, Policy and Law (Q2)"
109;25093;"Environmental Toxicology";journal;"15227278, 15204081";0,722;Q2;74;139;535;6765;1595;526;3,26;48,67;United States;Northern America;"John Wiley and Sons Inc.";"1980, 1999-2020";"Health, Toxicology and Mutagenesis (Q2); Management, Monitoring, Policy and Law (Q2); Medicine (miscellaneous) (Q2); Toxicology (Q2)"
110;21100808642;"Resources";journal;"20799276";0,722;Q2;24;169;180;8969;598;169;3,44;53,07;Switzerland;Western Europe;"MDPI Multidisciplinary Digital Publishing Institute";"2012-2020";"Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2)"
111;23373;"Journal of Environmental Planning and Management";journal;"13600559, 09640568";0,721;Q2;63;167;339;10271;760;338;2,18;61,50;United Kingdom;Western Europe;"Routledge";"1992-2020";"Environmental Science (miscellaneous) (Q1); Fluid Flow and Transfer Processes (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2); Water Science and Technology (Q2)"
112;21100886407;"European Policy Analysis";journal;"23806567";0,712;Q2;10;21;57;1273;94;45;2,10;60,62;United States;Northern America;"John Wiley and Sons Ltd";"2015-2020";"Health Policy (Q2); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)"
113;18900;"Journal of Transport Economics and Policy";journal;"17545951, 00225258";0,695;Q2;52;13;47;434;75;47;1,15;33,38;United Kingdom;Western Europe;"University of Bath";"1982-1990, 1994-2019";"Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2); Transportation (Q2)"
114;24495;"Wildlife Biology";journal;"09096396";0,689;Q2;49;2;132;141;201;131;1,19;70,50;Denmark;Western Europe;"Nordic Council for Wildlife Research";"1995-2019";"Ecology, Evolution, Behavior and Systematics (Q2); Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2)"
115;21100814040;"Environmental Geotechnics";journal;"2051803X";0,686;Q2;14;16;144;581;159;125;1,22;36,31;United Kingdom;Western Europe;"ICE Publishing Ltd.";"2014-2019";"Environmental Chemistry (Q2); Environmental Engineering (Q2); Geochemistry and Petrology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2)"
116;21100821159;"Climate Change Economics";journal;"20100086, 20100078";0,674;Q2;26;20;59;1025;70;58;1,22;51,25;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2010-2020";"Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2); Global and Planetary Change (Q3)"
117;38284;"Grass and Forage Science";journal;"13652494, 01425242";0,671;Q2;52;67;221;3214;419;218;1,74;47,97;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2020";"Agronomy and Crop Science (Q1); Management, Monitoring, Policy and Law (Q2)"
118;21100832225;"Geo: Geography and Environment";journal;"20544049";0,666;Q2;10;7;33;657;68;28;2,14;93,86;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2014-2020";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2); Atmospheric Science (Q3); Global and Planetary Change (Q3)"
119;21100201941;"Journal of Arid Land";journal;"16746767, 21947783";0,661;Q2;22;83;235;4267;539;231;2,14;51,41;China;Asiatic Region;"Science Press";"2009-2020";"Earth-Surface Processes (Q2); Management, Monitoring, Policy and Law (Q2); Water Science and Technology (Q2)"
120;17720;"North American Journal of Fisheries Management";journal;"15488675, 02755947";0,658;Q2;68;128;382;6973;498;374;1,24;54,48;United States;Northern America;"John Wiley &amp; Sons Inc.";"1981-2020";"Aquatic Science (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Management, Monitoring, Policy and Law (Q2)"
121;130111;"Clean Technologies and Environmental Policy";journal;"1618954X";0,653;Q2;49;155;646;7100;1643;606;2,68;45,81;Germany;Western Europe;"Springer Verlag";"2003-2020";"Environmental Chemistry (Q2); Environmental Engineering (Q2); Management, Monitoring, Policy and Law (Q2)"
122;21100269613;"Transnational Environmental Law";journal;"20471033, 20471025";0,646;Q2;14;26;66;2161;111;62;1,82;83,12;United Kingdom;Western Europe;"Cambridge University Press";"2012-2020";"Law (Q1); Management, Monitoring, Policy and Law (Q2)"
123;25269;"Journal of the Air and Waste Management Association";journal;"10962247, 21622906";0,642;Q2;95;116;340;5544;821;314;2,40;47,79;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2020";"Management, Monitoring, Policy and Law (Q2); Pollution (Q2); Waste Management and Disposal (Q2); Atmospheric Science (Q3)"
124;101700;"European Journal of Wildlife Research";journal;"16124642";0,632;Q2;44;100;269;5652;417;268;1,44;56,52;Germany;Western Europe;"Springer Verlag";"1996-2002, 2004-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2)"
125;21100207601;"International Journal of Climate Change Strategies and Management";journal;"17568692";0,631;Q2;18;49;136;2470;288;131;2,35;50,41;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2009-2020";"Geography, Planning and Development (Q1); Development (Q2); Management, Monitoring, Policy and Law (Q2); Global and Planetary Change (Q3)"
126;5700162683;"Globalizations";journal;"1474774X, 14747731";0,629;Q2;34;114;236;6111;392;210;1,92;53,61;United States;Northern America;"Taylor and Francis Ltd.";"2004-2020";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)"
127;21100904835;"Journal of Sustainable Water in the Built Environment";journal;"23796111";0,626;Q2;9;18;61;993;122;59;1,96;55,17;United States;Northern America;"American Society of Civil Engineers (ASCE)";"2015-2020";"Management, Monitoring, Policy and Law (Q2); Water Science and Technology (Q2)"
128;21100444313;"Sustainable Chemistry and Pharmacy";journal;"23525541";0,620;Q2;14;67;105;2809;373;98;3,76;41,93;Netherlands;Western Europe;"Elsevier BV";"2015-2020";"Management, Monitoring, Policy and Law (Q2); Pharmaceutical Science (Q2); Pollution (Q2); Environmental Chemistry (Q3)"
129;21100936535;"Clean Energy";journal;"25154230, 2515396X";0,611;Q2;5;31;27;881;48;23;2,09;28,42;United Kingdom;Western Europe;"Oxford University Press";"2017-2019";"Energy Engineering and Power Technology (Q2); Environmental Engineering (Q2); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)"
130;1100147103;"Analyses of Social Issues and Public Policy";journal;"15297489";0,609;Q2;29;22;62;1345;76;49;1,18;61,14;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2020";"Social Sciences (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q2)"
131;14103;"Development Policy Review";journal;"09506764, 14677679";0,608;Q2;58;70;185;3973;301;185;1,26;56,76;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1966, 1968-1970, 1972-2020";"Geography, Planning and Development (Q1); Development (Q2); Management, Monitoring, Policy and Law (Q2)"
132;20053;"International Journal of Public Sector Management";journal;"09513558";0,596;Q2;53;60;129;4064;314;127;1,98;67,73;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1970, 1988-2020";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)"
133;19431;"Wetlands Ecology and Management";journal;"15729834, 09234861";0,593;Q2;59;51;190;3179;321;182;1,24;62,33;Netherlands;Western Europe;"Springer Netherlands";"1982, 1989-2020";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Management, Monitoring, Policy and Law (Q2)"
134;90549;"Landscape Research";journal;"14699710, 01426397";0,590;Q2;41;80;223;3865;383;207;1,76;48,31;United Kingdom;Western Europe;"Routledge";"1970, 1972-2020";"Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2)"
135;21100793171;"WiPDA 2016 - 4th IEEE Workshop on Wide Bandgap Power Devices and Applications";conference and proceedings;"-";0,589;-;10;0;69;0;116;68;0,00;0,00;United States;Northern America;"";"";"Agronomy and Crop Science; Computer Networks and Communications; Computer Science Applications; Geography, Planning and Development; Management, Monitoring, Policy and Law"
136;21100900344;"Geoenvironmental Disasters";journal;"21978670";0,584;Q2;12;18;80;753;158;76;1,63;41,83;United Kingdom;Western Europe;"Springer Open";"2014-2020";"Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2); Geotechnical Engineering and Engineering Geology (Q2); Management, Monitoring, Policy and Law (Q2); Safety, Risk, Reliability and Quality (Q2)"
137;23292;"International Journal of Sustainable Development and World Ecology";journal;"17452627, 13504509";0,584;Q2;39;73;181;4055;462;174;2,70;55,55;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2020";"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2)"
138;30006;"Global Social Policy";journal;"17412803, 14680181";0,581;Q2;33;28;89;1050;103;73;1,38;37,50;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2020";"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Sociology and Political Science (Q2)"
139;18972;"Information Economics and Policy";journal;"01676245";0,581;Q2;46;19;82;625;143;81;2,11;32,89;Netherlands;Western Europe;"Elsevier";"1983-1984, 1986, 1988-1989, 1993-2020";"Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2)"
140;21100240100;"Sustainability";journal;"20711050";0,581;Q2;68;6861;8731;415484;26822;8628;2,97;60,56;Switzerland;Western Europe;"MDPI AG";"2009-2020";"Energy Engineering and Power Technology (Q2); Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)"
141;21100409410;"International Journal of Disaster Risk Science";journal;"21926395, 20950055";0,577;Q2;22;43;125;2378;311;122;2,39;55,30;United States;Northern America;"Springer Science + Business Media";"2010-2020";"Safety Research (Q1); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Global and Planetary Change (Q3)"
142;21482;"Environmental Monitoring and Assessment";journal;"01676369, 15732959";0,571;Q2;102;819;2081;43990;4883;2045;2,13;53,71;Netherlands;Western Europe;"Springer Netherlands";"1981-2020";"Environmental Science (miscellaneous) (Q2); Management, Monitoring, Policy and Law (Q2); Medicine (miscellaneous) (Q2); Pollution (Q2)"
143;21100198493;"Aquaculture Environment Interactions";journal;"1869215X, 18697534";0,567;Q2;27;12;100;746;193;98;1,58;62,17;Germany;Western Europe;"Inter-Research";"2010-2020";"Aquatic Science (Q2); Management, Monitoring, Policy and Law (Q2); Water Science and Technology (Q2)"
144;5800173380;"Human Dimensions of Wildlife";journal;"1533158X, 10871209";0,565;Q2;46;51;131;2175;194;110;2,03;42,65;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2020";"Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2)"
145;21100931380;"Environmental Health Insights";journal;"11786302";0,561;Q2;18;19;60;857;92;52;1,77;45,11;United States;Northern America;"SAGE Publications Inc.";"2008-2020";"Management, Monitoring, Policy and Law (Q2); Pollution (Q2); Public Health, Environmental and Occupational Health (Q2); Health, Toxicology and Mutagenesis (Q3)"
146;21100238638;"Global Policy";journal;"17585899, 17585880";0,551;Q2;30;137;320;4304;383;295;1,35;31,42;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010-2020";"Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2); Global and Planetary Change (Q3)"
147;20902;"Environment, Development and Sustainability";journal;"1387585X, 15732975";0,548;Q2;52;343;387;20203;903;383;2,38;58,90;Netherlands;Western Europe;"Springer Netherlands";"1999-2020";"Economics and Econometrics (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2)"
148;23369;"Journal of Environmental Law";journal;"1464374X, 09528873";0,544;Q2;27;19;72;653;92;72;1,22;34,37;United Kingdom;Western Europe;"Oxford University Press";"1989-2019";"Law (Q1); Management, Monitoring, Policy and Law (Q2)"
149;16563;"Tourism Recreation Research";journal;"02508281, 23200308";0,541;Q2;41;63;139;3784;271;133;1,98;60,06;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1976-2020";"Cultural Studies (Q1); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Tourism, Leisure and Hospitality Management (Q2)"
150;21100834323;"Emission Control Science and Technology";journal;"21993629, 21993637";0,524;Q2;12;37;78;1125;147;70;1,72;30,41;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2020";"Automotive Engineering (Q2); Management, Monitoring, Policy and Law (Q2); Pollution (Q2); Health, Toxicology and Mutagenesis (Q3)"
151;17700155021;"Handbook of Environmental Economics";book series;"15740099";0,524;Q2;19;0;10;0;11;10;1,10;0,00;Netherlands;Western Europe;"Elsevier";"2003, 2005, 2018";"Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2)"
152;12600154786;"European Journal of Spatial Development";journal;"16509544";0,522;Q2;9;1;11;106;27;11;1,33;106,00;Sweden;Western Europe;"Nordregio";"2008-2019";"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Urban Studies (Q2)"
153;15900154751;"Knowledge and Management of Aquatic Ecosystems";journal;"19619502";0,519;Q2;24;25;137;1174;207;136;1,40;46,96;France;Western Europe;"EDP Sciences";"2008-2019";"Aquatic Science (Q2); Ecology (Q2); Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2); Water Science and Technology (Q2)"
154;20293;"Ecological Management and Restoration";journal;"14427001, 14428903";0,517;Q2;40;39;122;1129;141;109;1,03;28,95;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2000-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2)"
155;21100438328;"Health security";journal;"23265108, 23265094";0,516;Q2;35;63;221;1619;206;197;1,03;25,70;United States;Northern America;"Mary Ann Liebert Inc.";"2015-2020";"Emergency Medicine (Q2); Health (social science) (Q2); Management, Monitoring, Policy and Law (Q2); Public Health, Environmental and Occupational Health (Q2); Safety Research (Q2); Health, Toxicology and Mutagenesis (Q3)"
156;21100236217;"Review of European, Comparative and International Environmental Law";journal;"20500386, 20500394";0,516;Q2;16;38;94;121;132;85;1,00;3,18;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2013-2020";"Law (Q1); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2)"
157;144950;"Journal of Geophysics and Engineering";journal;"17422140, 17422132";0,495;Q2;35;99;460;3193;801;450;1,77;32,25;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2004-2019";"Geology (Q2); Industrial and Manufacturing Engineering (Q2); Management, Monitoring, Policy and Law (Q2); Geophysics (Q3)"
158;21100814045;"Journal of Human Rights and the Environment";journal;"17597188, 17597196";0,490;Q2;6;12;36;115;36;30;0,95;9,58;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2016-2019";"Law (Q1); Management, Monitoring, Policy and Law (Q2); Sociology and Political Science (Q2)"
159;22681;"Impact Assessment and Project Appraisal";journal;"14615517, 14715465";0,488;Q2;48;63;116;2857;180;101;1,97;45,35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2020";"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2)"
160;21100934090;"Recycling";journal;"23134321";0,488;Q2;11;44;107;1764;240;103;2,19;40,09;Switzerland;Western Europe;"MDPI AG";"2016-2020";"Management, Monitoring, Policy and Law (Q2); Materials Science (miscellaneous) (Q2); Waste Management and Disposal (Q2)"
161;21100861552;"Noise Mapping";journal;"2084879X";0,484;Q2;11;7;35;331;115;35;1,93;47,29;Germany;Western Europe;"Walter de Gruyter GmbH";"2014-2019";"Acoustics and Ultrasonics (Q1); Management, Monitoring, Policy and Law (Q2); Urban Studies (Q2)"
162;19700167301;"Environmental Economics and Policy Studies";journal;"1867383X, 1432847X";0,483;Q2;21;25;111;1183;157;106;1,37;47,32;Japan;Asiatic Region;"Springer Japan";"1998-2002, 2004-2020";"Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2)"
163;87849;"Journal of Environmental Engineering and Landscape Management";journal;"18224199, 16486897";0,466;Q2;25;18;89;609;224;88;2,88;33,83;Lithuania;Eastern Europe;"Vilnius Gediminas Technical University";"2004-2020";"Environmental Engineering (Q2); Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2)"
164;29238;"International Research in Geographical and Environmental Education";journal;"17477611, 10382046";0,462;Q2;25;30;82;1356;141;68;2,07;45,20;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2020";"Education (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2)"
165;20188;"Disaster Prevention & Management";journal;"09653562";0,455;Q2;49;92;138;3674;228;134;1,44;39,93;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1992-2020";"Business, Management and Accounting (miscellaneous) (Q2); Health (social science) (Q2); Management, Monitoring, Policy and Law (Q2); Public Health, Environmental and Occupational Health (Q3)"
166;21100810712;"Journal of Remanufacturing";journal;"2210464X, 22104690";0,452;Q3;15;23;25;756;55;23;2,25;32,87;Germany;Western Europe;"";"2011-2020";"Industrial and Manufacturing Engineering (Q2); Waste Management and Disposal (Q2); Management, Monitoring, Policy and Law (Q3)"
167;68956;"Rangelands";trade journal;"01900528";0,450;Q3;26;31;103;933;140;100;0,98;30,10;United States;Northern America;"Elsevier Inc.";"1985, 1989, 1992, 1994-2020";"Ecology (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q3)"
168;17600155050;"Asian Economic Policy Review";journal;"18328105, 17483131";0,448;Q3;18;34;113;404;47;36;1,52;11,88;Australia;Pacific Region;"Wiley-Blackwell Publishing Ltd";"2008-2020";"Economics, Econometrics and Finance (miscellaneous) (Q1); Political Science and International Relations (Q2); Management, Monitoring, Policy and Law (Q3)"
169;21100431308;"Environmental Processes";journal;"21987505, 21987491";0,448;Q3;21;56;208;2923;388;202;1,79;52,20;United States;Northern America;"Springer Science + Business Media";"2014-2020";"Environmental Engineering (Q2); Pollution (Q2); Water Science and Technology (Q2); Health, Toxicology and Mutagenesis (Q3); Management, Monitoring, Policy and Law (Q3)"
170;17839;"Conservation Science Western Australia";journal;"14473682";0,447;Q3;19;0;10;0;11;9;1,00;0,00;Australia;Pacific Region;"Science Division, Department of Environment and Conservation";"2002, 2004, 2006-2017";"Nature and Landscape Conservation (Q2); Management, Monitoring, Policy and Law (Q3)"
171;130162;"Management of Environmental Quality";journal;"14777835";0,425;Q3;33;92;180;6372;343;178;2,25;69,26;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2003-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Management, Monitoring, Policy and Law (Q3); Public Health, Environmental and Occupational Health (Q3)"
172;18783;"Water Policy";journal;"13667017";0,422;Q3;53;82;264;3299;322;260;1,20;40,23;United Kingdom;Western Europe;"IWA Publishing";"1998, 2000-2020";"Geography, Planning and Development (Q2); Water Science and Technology (Q2); Management, Monitoring, Policy and Law (Q3)"
173;24055;"Ursus";journal;"15376176";0,419;Q3;38;11;40;698;33;40;0,74;63,45;United States;Northern America;"International Association for Bear Research and Management";"1998-2001, 2003-2020";"Animal Science and Zoology (Q2); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3)"
174;21100941001;"Frontiers in Sustainable Food Systems";journal;"2571581X";0,404;Q3;6;117;82;8083;141;81;1,74;69,09;Switzerland;Western Europe;"Frontiers Media S.A.";"2018-2020";"Agronomy and Crop Science (Q2); Ecology (Q2); Food Science (Q2); Horticulture (Q2); Global and Planetary Change (Q3); Management, Monitoring, Policy and Law (Q3)"
175;21100907367;"Water Economics and Policy";journal;"2382624X, 23826258";0,404;Q3;8;33;88;1313;106;83;1,66;39,79;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2015-2020";"Business and International Management (Q2); Water Science and Technology (Q2); Economics and Econometrics (Q3); Management, Monitoring, Policy and Law (Q3)"
176;19700182315;"WMU Journal of Maritime Affairs";journal;"1651436X, 16541642";0,400;Q3;17;32;70;1345;108;69;1,52;42,03;Germany;Western Europe;"Springer Verlag";"2002-2020";"Ocean Engineering (Q2); Safety Research (Q2); Human Factors and Ergonomics (Q3); Management, Monitoring, Policy and Law (Q3); Transportation (Q3)"
177;22877;"Journal of Sustainable Forestry";journal;"1540756X, 10549811";0,385;Q3;28;62;144;2986;213;142;1,44;48,16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2020";"Forestry (Q2); Geography, Planning and Development (Q2); Food Science (Q3); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q3)"
178;11600153918;"Environmental Justice";journal;"19394071, 19375174";0,384;Q3;18;30;89;1423;101;85;1,02;47,43;United States;Northern America;"Mary Ann Liebert Inc.";"2009-2020";"Geography, Planning and Development (Q2); Health, Toxicology and Mutagenesis (Q3); Management, Monitoring, Policy and Law (Q3)"
179;21100220469;"Forest Science and Technology";journal;"21580715, 21580103";0,384;Q3;11;28;86;1276;128;84;1,24;45,57;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2020";"Forestry (Q2); Management, Monitoring, Policy and Law (Q3)"
180;5800173373;"Water and Environment Journal";journal;"17476585";0,378;Q3;34;139;185;5627;283;178;1,56;40,48;United States;Northern America;"Wiley-Blackwell";"1987-2020";"Water Science and Technology (Q2); Environmental Engineering (Q3); Management, Monitoring, Policy and Law (Q3); Pollution (Q3)"
181;5300152523;"Cahiers Agricultures";journal;"11667699, 17775949";0,377;Q3;18;28;143;887;94;138;0,58;31,68;France;Western Europe;"EDP Sciences";"2006-2020";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2); Management, Monitoring, Policy and Law (Q3)"
