Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
73;21930;"Fish Physiology and Biochemistry";journal;"09201742, 15735168";0,676;Q2;75;154;415;8760;960;411;2,23;56,88;Netherlands;Western Europe;"Springer Netherlands";"1986-2020";"Aquatic Science (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Physiology (Q3)"
74;28374;"Oceanologia";journal;"00783234";0,670;Q2;39;48;134;2531;288;131;2,23;52,73;Poland;Eastern Europe;"Elsevier Sp. z o.o.";"1973, 1978, 1984, 1993-2020";"Ocean Engineering (Q1); Aquatic Science (Q2); Oceanography (Q2); Atmospheric Science (Q3)"
75;26789;"CCAMLR Science";journal;"10234063";0,665;Q2;29;0;3;0;8;3;0,00;0,00;Australia;Pacific Region;"Comm. for the Conserv. of Antartic Marine Living Resources";"1996-2016";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
76;79889;"Journal of Sea Research";journal;"13851101";0,665;Q2;75;97;272;6047;517;267;1,84;62,34;Netherlands;Western Europe;"Elsevier";"1996-2020";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Oceanography (Q2)"
77;29427;"Aquaculture Research";journal;"13652109, 1355557X";0,664;Q2;80;389;1357;19042;2729;1350;1,95;48,95;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970, 1972-2020";"Aquatic Science (Q2)"
78;21487;"Environmental Biology of Fishes";journal;"03781909, 15735133";0,664;Q2;82;113;336;6979;513;329;1,58;61,76;Netherlands;Western Europe;"Springer Netherlands";"1976-2020";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
79;12167;"Marine Ecology";journal;"01739565, 14390485";0,664;Q2;54;35;240;2510;362;239;1,45;71,71;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1979-2020";"Aquatic Science (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
80;24622;"Biofouling";journal;"10292454, 08927014";0,662;Q2;81;85;282;4879;791;270;2,48;57,40;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2020";"Applied Microbiology and Biotechnology (Q2); Aquatic Science (Q2); Water Science and Technology (Q2)"
81;17720;"North American Journal of Fisheries Management";journal;"15488675, 02755947";0,658;Q2;68;128;382;6973;498;374;1,24;54,48;United States;Northern America;"John Wiley &amp; Sons Inc.";"1981-2020";"Aquatic Science (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Management, Monitoring, Policy and Law (Q2)"
82;21100255400;"Water (Switzerland)";journal;"20734441";0,657;Q2;42;2587;3521;138025;9697;3448;2,71;53,35;Switzerland;Western Europe;"MDPI Multidisciplinary Digital Publishing Institute";"2009-2020";"Geography, Planning and Development (Q1); Aquatic Science (Q2); Water Science and Technology (Q2); Biochemistry (Q3)"
83;26788;"Bulletin of Marine Science";journal;"00074977";0,655;Q2;72;47;193;2035;263;187;1,35;43,30;United States;Northern America;"Rosenstiel School of Marine and Atmospheric Science";"1973-1976, 1980-2020";"Aquatic Science (Q2); Oceanography (Q2)"
84;17373;"Comparative Biochemistry and Physiology - B Biochemistry and Molecular Biology";journal;"18791107, 10964959";0,654;Q2;96;102;296;5680;639;295;2,19;55,69;United States;Northern America;"Elsevier Inc.";"1971-2020";"Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q3); Molecular Biology (Q3); Physiology (Q3)"
85;20000195048;"Aquatic Invasions";journal;"17986540, 18185487";0,646;Q2;45;43;139;3078;276;133;1,92;71,58;Finland;Western Europe;"Regional Euro-Asian Biological Invasions Centre";"2006-2019";"Aquatic Science (Q2); Water Science and Technology (Q2)"
86;29570;"Limnologica";journal;"18735851, 00759511";0,646;Q2;44;50;173;2864;378;170;2,01;57,28;Germany;Western Europe;"Urban und Fischer Verlag Jena";"1974, 1980, 1994-2020";"Aquatic Science (Q2)"
87;21100239854;"San Francisco Estuary and Watershed Science";journal;"15462366";0,623;Q2;14;19;72;1301;133;72;1,30;68,47;United States;Northern America;"Information Center for the Environment, University of California Davis";"2013-2019";"Aquatic Science (Q2); Water Science and Technology (Q2)"
88;21100908545;"Aquaculture and Fisheries";journal;"20961758, 2468550X";0,620;Q2;10;54;78;2525;231;77;3,01;46,76;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2016-2020";"Aquatic Science (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
89;100147333;"Marine Biology Research";journal;"17451000, 17451019";0,613;Q2;34;47;273;2901;377;266;1,36;61,72;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2020";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Oceanography (Q2)"
90;5200153106;"Neotropical Ichthyology";journal;"16796225";0,602;Q2;37;43;171;2033;306;170;2,08;47,28;Brazil;Latin America;"Sociedade Brasileira de Ictiologia";"2006-2019";"Aquatic Science (Q2)"
91;21399;"Copeia";journal;"00458511";0,600;Q2;64;54;238;2736;304;236;1,16;50,67;United States;Northern America;"American Society of Ichthyologists and Herpetologists";"1980, 1982, 1986, 1992-2019";"Animal Science and Zoology (Q1); Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
92;12760;"Fisheries";journal;"03632415, 15488446";0,595;Q2;76;98;390;2004;390;326;1,24;20,45;United States;Northern America;"John Wiley &amp; Sons Inc.";"1976-2020";"Aquatic Science (Q2); Nature and Landscape Conservation (Q2)"
93;22584;"Journal of Molluscan Studies";journal;"14643766, 02601230";0,593;Q2;45;45;157;2455;228;152;1,35;54,56;United Kingdom;Western Europe;"Oxford University Press";"1899, 1903, 1928, 1935-1940, 1942-1969, 1971-1974, 1976-1978, 1981-1984, 1986-2019";"Animal Science and Zoology (Q2); Aquatic Science (Q2)"
94;19431;"Wetlands Ecology and Management";journal;"15729834, 09234861";0,593;Q2;59;51;190;3179;321;182;1,24;62,33;Netherlands;Western Europe;"Springer Netherlands";"1982, 1989-2020";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Management, Monitoring, Policy and Law (Q2)"
95;29608;"Journal of Limnology";journal;"11295767";0,592;Q2;41;27;226;1372;354;217;1,36;50,81;Italy;Western Europe;"PagePress Publications";"1997-2020";"Aquatic Science (Q2); Ecology (Q2); Water Science and Technology (Q2)"
96;19374;"AAPS PharmSciTech";journal;"15309932";0,581;Q2;88;332;859;15576;2234;837;2,49;46,92;Switzerland;Western Europe;"Springer International Publishing AG";"2000-2020";"Agronomy and Crop Science (Q2); Aquatic Science (Q2); Drug Discovery (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Medicine (miscellaneous) (Q2); Pharmaceutical Science (Q2)"
97;28430;"Scientia Marina";journal;"18868134, 02148358";0,576;Q2;65;51;159;2793;222;154;1,21;54,76;Spain;Western Europe;"CSIC Consejo Superior de Investigaciones Cientificas";"1996-2020";"Aquatic Science (Q2); Oceanography (Q2)"
98;17910;"Cryptogamie, Algologie";journal;"01811568";0,569;Q2;31;7;65;293;101;64;1,98;41,86;France;Western Europe;"A.D.A.C.";"1990-2019";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
99;21100198493;"Aquaculture Environment Interactions";journal;"1869215X, 18697534";0,567;Q2;27;12;100;746;193;98;1,58;62,17;Germany;Western Europe;"Inter-Research";"2010-2020";"Aquatic Science (Q2); Management, Monitoring, Policy and Law (Q2); Water Science and Technology (Q2)"
100;19679;"Diseases of Aquatic Organisms";journal;"16161580, 01775103";0,566;Q2;95;119;376;5717;604;372;1,43;48,04;Germany;Western Europe;"Inter-Research";"1990-2020";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
101;29091;"Ecohydrology and Hydrobiology";journal;"16423593";0,564;Q2;28;61;104;3719;200;94;1,83;60,97;Netherlands;Western Europe;"Elsevier BV";"2001-2020";"Aquatic Science (Q2)"
102;29422;"Aquaculture International";journal;"1573143X, 09676120";0,560;Q2;50;134;395;6270;729;387;1,51;46,79;Netherlands;Western Europe;"Springer Netherlands";"1993-2020";"Agronomy and Crop Science (Q2); Aquatic Science (Q2)"
103;19800188031;"Mediterranean Marine Science";journal;"17916763, 1108393X";0,557;Q2;34;49;164;2976;290;164;1,60;60,73;Greece;Western Europe;"National Centre for Marine Research";"2000-2019";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Environmental Engineering (Q2); Oceanography (Q2)"
104;12802;"Fishery Bulletin";journal;"00900656, 19374518";0,542;Q2;63;26;112;1114;125;112;1,01;42,85;United States;Northern America;"US National Marine Fisheries Services";"1979-1986, 1988-2020";"Aquatic Science (Q2)"
105;29573;"Limnology";journal;"1439863X, 14398621";0,537;Q2;34;38;91;1831;141;89;1,53;48,18;Japan;Asiatic Region;"Springer Japan";"2000-2020";"Aquatic Science (Q2); Ecology (Q2); Water Science and Technology (Q2)"
106;27910;"New Zealand Journal of Marine and Freshwater Research";journal;"00288330, 11758805";0,529;Q2;53;44;120;2580;193;111;1,72;58,64;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1967-2020";"Aquatic Science (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Water Science and Technology (Q2)"
107;17300154739;"Aquatic Biology";journal;"18647790, 18647782";0,524;Q2;41;16;60;952;99;55;1,67;59,50;Germany;Western Europe;"Inter-Research";"2007-2020";"Aquatic Science (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Oceanography (Q2)"
108;15900154751;"Knowledge and Management of Aquatic Ecosystems";journal;"19619502";0,519;Q2;24;25;137;1174;207;136;1,40;46,96;France;Western Europe;"EDP Sciences";"2008-2019";"Aquatic Science (Q2); Ecology (Q2); Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2); Water Science and Technology (Q2)"
109;21100868232;"Advances in Oceanography and Limnology";journal;"1947573X, 19475721";0,517;Q2;15;10;47;433;72;47;1,41;43,30;Italy;Western Europe;"PagePress Publications";"2010-2019";"Aquatic Science (Q2); Oceanography (Q2)"
110;21100324710;"Egyptian Journal of Aquatic Research";journal;"16874285, 20903278";0,516;Q2;23;54;147;1979;366;147;2,41;36,65;Egypt;Africa/Middle East;"National Institute of Oceanography and Fisheries";"2012-2020";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Oceanography (Q2); Water Science and Technology (Q2)"
111;12162;"Journal of the Marine Biological Association of the United Kingdom";journal;"14697769, 00253154";0,512;Q2;66;195;515;10892;653;496;1,13;55,86;United Kingdom;Western Europe;"Cambridge University Press";"1887-1900, 1902-1904, 1906-2020";"Aquatic Science (Q2)"
112;8000153140;"Polar Science";journal;"18739652";0,507;Q2;23;75;154;3708;241;151;1,37;49,44;Netherlands;Western Europe;"Elsevier";"2007-2020";"Aquatic Science (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
113;18300156716;"Marine Biodiversity";journal;"18671616, 18671624";0,502;Q3;34;225;471;12741;570;461;1,30;56,63;Germany;Western Europe;"Springer Publishing Company";"2009-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Oceanography (Q2); Aquatic Science (Q3)"
114;19700184700;"African Journal of Marine Science";journal;"18142338, 1814232X";0,494;Q3;49;41;158;2132;169;157;0,87;52,00;South Africa;Africa;"National Inquiry Services Centre Ltd";"2003-2019";"Ecology, Evolution, Behavior and Systematics (Q2); Aquatic Science (Q3)"
115;21100390177;"Regional Studies in Marine Science";journal;"23524855";0,487;Q3;14;225;391;13566;613;383;1,31;60,29;Netherlands;Western Europe;"Elsevier BV";"2015-2020";"Animal Science and Zoology (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Aquatic Science (Q3)"
116;28937;"Journal of the World Aquaculture Society";journal;"17497345, 08938849";0,481;Q3;55;122;262;6114;410;241;1,61;50,11;United States;Northern America;"Wiley-Blackwell";"1986-2020";"Agronomy and Crop Science (Q2); Aquatic Science (Q3)"
117;17300;"Botanica Marina";journal;"00068055, 14374323";0,479;Q3;54;56;154;3223;216;151;1,48;57,55;Germany;Western Europe;"Walter de Gruyter GmbH";"1959-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2); Aquatic Science (Q3)"
118;27282;"Helgoland Marine Research";journal;"1438387X";0,477;Q3;48;11;69;471;88;67;1,44;42,82;Germany;Western Europe;"Springer Verlag";"1996, 1999-2020";"Aquatic Science (Q3); Oceanography (Q3)"
119;4000149003;"Ichthyological Exploration of Freshwaters";journal;"09369902";0,459;Q3;22;0;64;0;58;61;1,24;0,00;Germany;Western Europe;"Verlag Dr. Friedrich Pfeil";"2005-2018";"Animal Science and Zoology (Q2); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
120;12786;"Fisheries Science";journal;"09199268, 14442906";0,450;Q3;61;108;313;4310;412;304;1,30;39,91;Germany;Western Europe;"Springer Nature";"1994-2020";"Aquatic Science (Q3)"
121;29535;"Journal of Freshwater Ecology";journal;"02705060";0,436;Q3;34;55;150;2649;188;139;1,09;48,16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2020";"Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
122;22543;"Journal of Crustacean Biology";journal;"1937240X, 02780372";0,433;Q3;51;93;286;4715;284;274;1,19;50,70;Netherlands;Western Europe;"Brill Academic Publishers";"1984, 1992-2019";"Aquatic Science (Q3)"
123;17972;"Diatom Research";journal;"21598347, 0269249X";0,432;Q3;33;23;98;965;117;91;1,22;41,96;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986-2020";"Aquatic Science (Q3)"
124;21100934236;"Fishes";journal;"24103888";0,431;Q3;6;59;68;3040;91;64;1,50;51,53;Switzerland;Western Europe;"MDPI AG";"2016-2020";"Ecology (Q2); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
125;29436;"Aquatic Living Resources";journal;"09907440, 17652952";0,416;Q3;62;21;102;1298;119;100;1,10;61,81;France;Western Europe;"EDP Sciences";"1988-2019";"Aquatic Science (Q3)"
126;21100247800;"Phycological Research";journal;"13220829, 14401835";0,413;Q3;41;54;112;2218;156;107;1,32;41,07;United States;Northern America;"John Wiley and Sons Inc.";"1995, 1997-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Plant Science (Q2); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Physiology (Q4)"
127;21100400829;"Mires and Peat";journal;"1819754X";0,411;Q3;10;18;102;916;139;101;1,17;50,89;Germany;Western Europe;"The International Mire Conservation Group (IMCG)";"2015-2020";"Ecology (Q2); Soil Science (Q2); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Nature and Landscape Conservation (Q3)"
128;13515;"Journal of Aquatic Animal Health";journal;"08997659, 15488667";0,403;Q3;51;39;94;1593;125;94;1,40;40,85;United States;Northern America;"John Wiley &amp; Sons Inc.";"1989-2020";"Aquatic Science (Q3)"
129;63779;"Lake and Reservoir Management";journal;"07438141";0,403;Q3;36;45;108;2391;138;97;1,27;53,13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1984, 1986-1991, 1993-2020";"Water Science and Technology (Q2); Aquatic Science (Q3)"
130;22586;"Journal of Shellfish Research";journal;"07308000, 19436319";0,400;Q3;59;49;279;3003;282;274;0,92;61,29;United States;Northern America;"National Shellfisheries Association";"1993-2019";"Aquatic Science (Q3)"
131;40352;"Marine and Freshwater Behaviour and Physiology";journal;"10290362, 10236244";0,388;Q3;34;19;100;1054;98;95;0,86;55,47;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2020";"Aquatic Science (Q3); Oceanography (Q3); Physiology (Q4)"
132;12524;"African Journal of Aquatic Science";journal;"17279364, 16085914";0,387;Q3;26;49;143;2291;133;111;1,06;46,76;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2000-2020";"Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
133;19800188076;"Marine Biodiversity Records";journal;"17552672";0,384;Q3;16;20;157;757;149;154;0,76;37,85;United States;Northern America;"Springer Nature";"2011-2020";"Ecology (Q2); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Oceanography (Q3)"
134;20576;"Journal of Aquatic Food Product Technology";journal;"15470636, 10498850";0,383;Q3;29;99;347;3770;385;315;1,10;38,08;United States;Northern America;"Taylor and Francis Ltd.";"1992-2020";"Aquatic Science (Q3); Food Science (Q3)"
135;11700154308;"Limnology and Oceanography Bulletin";journal;"1539607X, 15396088";0,382;Q3;7;55;86;231;45;33;1,11;4,20;United States;Northern America;"Wiley-Blackwell";"2007-2020";"Water Science and Technology (Q2); Aquatic Science (Q3); Oceanography (Q3)"
136;21100411349;"Zoosystematica Rossica";journal;"03209180, 24100226";0,375;Q3;7;16;91;235;42;91;0,38;14,69;Russian Federation;Eastern Europe;"Zoological Institute, Russian Academy of Sciences";"2014-2019";"Animal Science and Zoology (Q2); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
137;5400152636;"Fundamental and Applied Limnology";journal;"18639135";0,365;Q3;58;27;137;1570;130;134;0,88;58,15;Germany;Western Europe;"E. Schweizerbart'sche Verlagsbuchhandlung";"2007-2019";"Aquatic Science (Q3); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
138;12400154704;"Aquatic Mammals";journal;"01675427, 19967292";0,357;Q3;23;63;212;3029;172;171;0,94;48,08;Netherlands;Western Europe;"European Association for Aquatic Mammals";"2008-2020";"Animal Science and Zoology (Q2); Aquatic Science (Q3); Nature and Landscape Conservation (Q3)"
139;13512;"Journal of Applied Aquaculture";journal;"15450805, 10454438";0,356;Q3;25;43;75;2033;68;65;1,13;47,28;United States;Northern America;"Taylor and Francis Ltd.";"1991-2020";"Aquatic Science (Q3); Ecology (Q3)"
140;21100297819;"Ribarstvo, Croatian Journal of Fisheries";journal;"1330061X, 18480586";0,355;Q3;10;16;61;1949;62;57;1,08;121,81;Croatia;Eastern Europe;"University of Zagreb";"1993-1997, 2013-2020";"Aquatic Science (Q3); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Management, Monitoring, Policy and Law (Q3)"
141;5300152718;"Soil and Water Research";journal;"18059384, 18015395";0,353;Q3;19;26;90;845;108;90;1,07;32,50;Czech Republic;Eastern Europe;"Czech Academy of Agricultural Sciences";"2007-2020";"Aquatic Science (Q3); Soil Science (Q3)"
142;22536;"Journal of Applied Ichthyology";journal;"14390426, 01758659";0,348;Q3;58;173;814;5948;575;806;0,65;34,38;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1985-2020";"Aquatic Science (Q3)"
143;29031;"Annales de Limnologie";journal;"00034088, 2100000X";0,347;Q3;29;18;114;1009;97;112;0,87;56,06;France;Western Europe;"EDP Sciences";"1965-2019";"Aquatic Science (Q3)"
144;17719;"North American Journal of Aquaculture";journal;"15222055, 15488454";0,344;Q3;39;53;137;2244;135;128;1,00;42,34;United States;Northern America;"John Wiley &amp; Sons Inc.";"1999-2020";"Aquatic Science (Q3)"
145;26775;"Acta Oceanologica Sinica";journal;"18691099, 0253505X";0,340;Q3;25;185;535;7289;561;533;1,00;39,40;China;Asiatic Region;"Springer Verlag";"1985-1993, 1996-2020";"Aquatic Science (Q3); Oceanography (Q3)"
146;19700201332;"Fisheries and Aquatic Sciences";journal;"22341749, 22341757";0,337;Q3;13;29;113;1244;143;112;1,31;42,90;United Kingdom;Western Europe;"BioMed Central Ltd.";"2008-2020";"Aquatic Science (Q3); Biochemistry (Q3); Oceanography (Q3); Molecular Biology (Q4)"
147;88939;"Journal of Marine Biology";journal;"1687949X, 16879481";0,335;Q3;8;7;20;340;21;20;1,57;48,57;United States;Northern America;"Hindawi Publishing Corporation";"2011, 2014-2019";"Animal Science and Zoology (Q3); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
148;17600155120;"Inland Water Biology";journal;"19950837, 19950829";0,331;Q3;10;90;192;2804;108;192;0,58;31,16;Russian Federation;Eastern Europe;"Pleiades Publishing";"2009-2020";"Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
149;19200157113;"Turkish Journal of Fisheries and Aquatic Sciences";journal;"13032712";0,326;Q3;26;92;403;3800;417;403;1,00;41,30;Turkey;Middle East;"Central Fisheries Research Inst";"2008-2020";"Animal Science and Zoology (Q3); Aquatic Science (Q3)"
150;4800152405;"Acta Ichthyologica et Piscatoria";journal;"01371592, 17341515";0,323;Q3;21;56;145;1910;107;145;0,64;34,11;Poland;Eastern Europe;"Scientific Society of Szczecin";"1996-2020";"Aquatic Science (Q3)"
151;5800173388;"Plankton and Benthos Research";journal;"18808247";0,323;Q3;19;37;85;1385;66;66;1,02;37,43;Japan;Asiatic Region;"Plankton Society of Japan";"2006-2019";"Aquatic Science (Q3); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Oceanography (Q3)"
152;22563;"Journal of Ichthyology";journal;"00329452, 15318486";0,322;Q3;17;111;291;3867;147;290;0,51;34,84;Russian Federation;Eastern Europe;"Pleiades Publishing";"1976-1977, 1979-1984, 1987, 1990-1995, 2006-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Aquatic Science (Q3)"
153;16730;"Aquatic Ecosystem Health and Management";journal;"15394077, 14634988";0,315;Q3;39;44;151;1985;115;135;0,72;45,11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2019";"Aquatic Science (Q3); Ecology (Q3); Management, Monitoring, Policy and Law (Q3)"
154;21100817420;"Wader Study";journal;"20588410";0,313;Q3;12;39;109;1055;58;75;0,73;27,05;United Kingdom;Western Europe;"International Wader Study Group";"2015-2019";"Animal Science and Zoology (Q3); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
155;21100207002;"International Aquatic Research";journal;"20086970, 20084935";0,307;Q3;12;34;95;1745;107;94;0,98;51,32;United States;Northern America;"Islamic Azad University of Tonekabon";"2012-2019";"Aquatic Science (Q3)"
156;21100810419;"Revista Brasileira de Recursos Hidricos";journal;"23180331";0,307;Q3;6;48;170;2061;147;169;0,62;42,94;Brazil;Latin America;"Brazilian Journal of Water Resources";"2016-2020";"Aquatic Science (Q3); Earth-Surface Processes (Q3); Oceanography (Q3); Water Science and Technology (Q3)"
157;21967;"Fish Pathology";journal;"18817335, 0388788X";0,306;Q3;42;15;90;257;52;89;0,63;17,13;Japan;Asiatic Region;"Japanese Society of Fish Pathology";"1967-2019";"Animal Science and Zoology (Q3); Aquatic Science (Q3)"
158;21402;"Crustaceana";journal;"15685403, 0011216X";0,297;Q3;35;102;331;3483;177;321;0,56;34,15;Netherlands;Western Europe;"Brill Academic Publishers";"1960-2020";"Animal Science and Zoology (Q3); Aquatic Science (Q3)"
159;144767;"Limnetica";journal;"02138409";0,297;Q3;30;46;71;2693;66;71;0,88;58,54;Spain;Western Europe;"";"1996-2020";"Aquatic Science (Q3); Ecology (Q3); Water Science and Technology (Q3)"
160;19900193543;"Iranian Journal of Fisheries Sciences";journal;"15622916";0,296;Q3;17;61;219;2298;163;219;0,76;37,67;Iran;Middle East;"Iranian Fisheries Research Organization";"2008-2020";"Aquatic Science (Q3)"
161;12400154701;"Latin American Journal of Aquatic Research";journal;"0718560X";0,290;Q3;25;96;347;4106;275;346;0,74;42,77;Chile;Latin America;"Pontificia Universidad Catolica de Valparaiso";"2008-2020";"Aquatic Science (Q3); Oceanography (Q3)"
162;21100854134;"Hupo Kexue/Journal of Lake Sciences";journal;"10035427";0,286;Q3;9;158;477;6818;509;476;1,09;43,15;China;Asiatic Region;"Science Press";"2016-2020";"Aquatic Science (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Pollution (Q3); Water Science and Technology (Q3)"
163;19144;"Aquatic Insects";journal;"01650424, 17444152";0,284;Q3;19;24;61;875;30;60;0,47;36,46;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1979-2014, 2016-2020";"Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Insect Science (Q3)"
164;19300156808;"AACL Bioflux";journal;"18449166, 18448143";0,277;Q3;14;189;508;6481;440;507;0,86;34,29;Romania;Eastern Europe;"Bioflux Publishing House";"2006, 2009-2020";"Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Management, Monitoring, Policy and Law (Q3); Water Science and Technology (Q3)"
165;24132;"American Malacological Bulletin";journal;"07402783";0,275;Q3;31;0;64;0;38;63;0,55;0,00;United States;Northern America;"American Malacological Society";"1988, 1993-1994, 1996-2018, 2020";"Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
166;12600154715;"Journal of Cetacean Research and Management";journal;"15610713";0,267;Q3;22;0;38;0;20;34;0,59;0,00;United Kingdom;Western Europe;"International Whaling Commission";"2004, 2008-2015, 2017-2018";"Animal Science and Zoology (Q3); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
167;21100332447;"Hydroecologie Appliquee";journal;"1958556X, 11479213";0,260;Q3;7;0;23;0;21;22;0,29;0,00;France;Western Europe;"EDP Sciences";"2010, 2014, 2016-2018";"Aquatic Science (Q3); Ecology (Q3); Water Science and Technology (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
168;17626;"Marine Fisheries Review";journal;"00901830";0,258;Q4;31;3;25;254;14;25;0,50;84,67;United States;Northern America;"US National Marine Fisheries Services";"1974, 1977-1984, 1987-2019";"Agronomy and Crop Science (Q3); Aquatic Science (Q4)"
169;26806;"Ciencias Marinas";journal;"01853880";0,253;Q4;27;15;56;495;48;56;0,59;33,00;Mexico;Latin America;"Universidad Autonoma de Baja California";"1992-2019";"Aquatic Science (Q4)"
170;19700176046;"Boletim do Instituto de Pesca";journal;"16782305, 00469939";0,251;Q4;14;57;215;2473;134;215;0,51;43,39;Brazil;Latin America;"Instytut Technologii Drewna";"2009-2019";"Animal Science and Zoology (Q3); Aquatic Science (Q4)"
171;13565;"Revista de Biologia Marina y Oceanografia";journal;"07173326";0,244;Q4;23;37;177;1557;88;155;0,55;42,08;Chile;Latin America;"Universidad de Valparaiso";"1996-2019";"Oceanography (Q3); Aquatic Science (Q4)"
172;21100464914;"Proceedings - Computer Graphics, Imaging and Visualization: New Techniques and Trends, CGiV 2016";conference and proceedings;"-";0,237;-;8;0;76;0;83;74;0,00;0,00;United States;Northern America;"";"";"Aquatic Science; Ecology, Evolution, Behavior and Systematics; Oceanography"
173;21100239409;"Revista Ambiente e Agua";journal;"1980993X";0,234;Q4;11;75;262;2497;172;261;0,62;33,29;Brazil;Latin America;"Instituto de Pesquisas Ambientais em Bacias Hidrograficas (IPABHi)";"2013-2020";"Environmental Science (miscellaneous) (Q3); Aquatic Science (Q4); Public Health, Environmental and Occupational Health (Q4)"
174;19300156919;"Archives of Polish Fisheries";journal;"20836139, 12306428";0,228;Q4;16;0;69;0;58;68;0,70;0,00;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2008-2018";"Aquatic Science (Q4)"
175;22542;"Journal of Conchology";journal;"00220019";0,226;Q4;20;0;70;0;35;64;0,68;0,00;United Kingdom;Western Europe;"Conchological Society of Great Britain and Ireland";"1981-1990, 1996-2018";"Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
